"","year","region","state","state_code","sex","life.expectancy"
"506",2009,"Northeast","Paraíba",25,"male",69.707029373225
"507",2010,"Northeast","Paraíba",25,"male",69.8482722745833
"508",2011,"Northeast","Paraíba",25,"male",69.8191493526512
"509",2012,"Northeast","Paraíba",25,"male",70.1444670227327
"510",2013,"Northeast","Paraíba",25,"male",70.1287630648584
"511",2014,"Northeast","Paraíba",25,"male",70.7660804201638
"512",2015,"Northeast","Paraíba",25,"male",70.6870925218245
"513",2000,"Northeast","Pernambuco",26,"female",72.9111198463857
"514",2001,"Northeast","Pernambuco",26,"female",73.8070780769677
"515",2002,"Northeast","Pernambuco",26,"female",74.0040226087411
"516",2003,"Northeast","Pernambuco",26,"female",74.0538653603565
"517",2004,"Northeast","Pernambuco",26,"female",74.1701140055906
"518",2005,"Northeast","Pernambuco",26,"female",74.8790154605582
"519",2006,"Northeast","Pernambuco",26,"female",75.5028019472246
"520",2007,"Northeast","Pernambuco",26,"female",75.7178330466934
"521",2008,"Northeast","Pernambuco",26,"female",75.7403685985969
"522",2009,"Northeast","Pernambuco",26,"female",75.9813568583506
"523",2010,"Northeast","Pernambuco",26,"female",76.5595829291681
"524",2011,"Northeast","Pernambuco",26,"female",76.4345876649537
"525",2012,"Northeast","Pernambuco",26,"female",76.5711009340311
"526",2013,"Northeast","Pernambuco",26,"female",76.8156585811385
"527",2014,"Northeast","Pernambuco",26,"female",77.3931574118879
"528",2015,"Northeast","Pernambuco",26,"female",76.9338186329332
"529",2000,"Northeast","Pernambuco",26,"male",63.9002946102095
"530",2001,"Northeast","Pernambuco",26,"male",64.4789531023842
"531",2002,"Northeast","Pernambuco",26,"male",65.1931248243059
"532",2003,"Northeast","Pernambuco",26,"male",65.6303019282137
"533",2004,"Northeast","Pernambuco",26,"male",66.085349787045
"534",2005,"Northeast","Pernambuco",26,"male",66.9415944777214
"535",2006,"Northeast","Pernambuco",26,"male",67.4783728512571
"536",2007,"Northeast","Pernambuco",26,"male",67.4719609652703
"537",2008,"Northeast","Pernambuco",26,"male",67.959669782382
"538",2009,"Northeast","Pernambuco",26,"male",68.3584952958557
"539",2010,"Northeast","Pernambuco",26,"male",68.950093720781
"540",2011,"Northeast","Pernambuco",26,"male",68.896620116172
"541",2012,"Northeast","Pernambuco",26,"male",69.5075129299137
"542",2013,"Northeast","Pernambuco",26,"male",69.6052201992813
"543",2014,"Northeast","Pernambuco",26,"male",69.9255423409951
"544",2015,"Northeast","Pernambuco",26,"male",69.2975831491429
"545",2000,"Northeast","Alagoas",27,"female",73.3221757604311
"546",2001,"Northeast","Alagoas",27,"female",72.5156437803449
"547",2002,"Northeast","Alagoas",27,"female",72.698125605132
"548",2003,"Northeast","Alagoas",27,"female",73.9911786649657
"549",2004,"Northeast","Alagoas",27,"female",73.5062254405288
"550",2005,"Northeast","Alagoas",27,"female",74.1435289771789
"551",2006,"Northeast","Alagoas",27,"female",75.3549664048171
"552",2007,"Northeast","Alagoas",27,"female",74.8414851959775
"553",2008,"Northeast","Alagoas",27,"female",75.642049143698
"554",2009,"Northeast","Alagoas",27,"female",75.2782586851356
"555",2010,"Northeast","Alagoas",27,"female",75.3741481060722
"556",2011,"Northeast","Alagoas",27,"female",75.2663133418905
"557",2012,"Northeast","Alagoas",27,"female",75.7635727462486
"558",2013,"Northeast","Alagoas",27,"female",75.7229279231644
"559",2014,"Northeast","Alagoas",27,"female",76.1957569290225
"560",2015,"Northeast","Alagoas",27,"female",75.8909082954855
"561",2000,"Northeast","Alagoas",27,"male",67.1574996130253
"562",2001,"Northeast","Alagoas",27,"male",66.398105793052
"563",2002,"Northeast","Alagoas",27,"male",66.3830124059575
"564",2003,"Northeast","Alagoas",27,"male",67.0850553619133
"565",2004,"Northeast","Alagoas",27,"male",67.4411174294602
"566",2005,"Northeast","Alagoas",27,"male",68.1048155619853
"567",2006,"Northeast","Alagoas",27,"male",67.85588350778
"568",2007,"Northeast","Alagoas",27,"male",67.0322482493014
"569",2008,"Northeast","Alagoas",27,"male",67.7075403512136
"570",2009,"Northeast","Alagoas",27,"male",67.6240386493597
"571",2010,"Northeast","Alagoas",27,"male",67.4209847828278
"572",2011,"Northeast","Alagoas",27,"male",67.0204478230081
"573",2012,"Northeast","Alagoas",27,"male",67.935981100701
"574",2013,"Northeast","Alagoas",27,"male",67.541193917418
"575",2014,"Northeast","Alagoas",27,"male",68.1567441761664
"576",2015,"Northeast","Alagoas",27,"male",68.678919405692
"577",2000,"Northeast","Sergipe",28,"female",73.8945166708648
"578",2001,"Northeast","Sergipe",28,"female",74.1461135678583
"579",2002,"Northeast","Sergipe",28,"female",74.6990964023972
"580",2003,"Northeast","Sergipe",28,"female",75.2950712507353
"581",2004,"Northeast","Sergipe",28,"female",75.8884289971899
"582",2005,"Northeast","Sergipe",28,"female",76.0127819565882
"583",2006,"Northeast","Sergipe",28,"female",76.374227421603
"584",2007,"Northeast","Sergipe",28,"female",76.7732638289571
"585",2008,"Northeast","Sergipe",28,"female",76.3865336371521
"586",2009,"Northeast","Sergipe",28,"female",76.6652727709486
"587",2010,"Northeast","Sergipe",28,"female",77.1443962077237
"588",2011,"Northeast","Sergipe",28,"female",76.6291311866708
"589",2012,"Northeast","Sergipe",28,"female",76.6441892781174
"590",2013,"Northeast","Sergipe",28,"female",77.0401876303968
"591",2014,"Northeast","Sergipe",28,"female",77.3133972143808
"592",2015,"Northeast","Sergipe",28,"female",76.7377675612617
"593",2000,"Northeast","Sergipe",28,"male",67.239554440585
"594",2001,"Northeast","Sergipe",28,"male",67.297377099302
"595",2002,"Northeast","Sergipe",28,"male",67.4191878092035
"596",2003,"Northeast","Sergipe",28,"male",68.5393560355785
"597",2004,"Northeast","Sergipe",28,"male",68.7187512711814
"598",2005,"Northeast","Sergipe",28,"male",68.791375684415
"599",2006,"Northeast","Sergipe",28,"male",69.7250871721754
"600",2007,"Northeast","Sergipe",28,"male",70.0293790984258
"601",2008,"Northeast","Sergipe",28,"male",69.8492524763017
"602",2009,"Northeast","Sergipe",28,"male",69.5570591087906
"603",2010,"Northeast","Sergipe",28,"male",69.5325882483867
"604",2011,"Northeast","Sergipe",28,"male",69.6254884707053
"605",2012,"Northeast","Sergipe",28,"male",69.441792187228
"606",2013,"Northeast","Sergipe",28,"male",69.3328102463652
"607",2014,"Northeast","Sergipe",28,"male",69.7044532958274
"608",2015,"Northeast","Sergipe",28,"male",68.6823426401624
"609",2000,"Northeast","Bahia",29,"female",73.3456180859339
"610",2001,"Northeast","Bahia",29,"female",73.9315730270815
"611",2002,"Northeast","Bahia",29,"female",74.1730333290357
"612",2003,"Northeast","Bahia",29,"female",74.6589726322515
"613",2004,"Northeast","Bahia",29,"female",75.193260546981
"614",2005,"Northeast","Bahia",29,"female",75.7360278362447
"615",2006,"Northeast","Bahia",29,"female",75.9640886448434
"616",2007,"Northeast","Bahia",29,"female",76.7363949376788
"617",2008,"Northeast","Bahia",29,"female",76.8617306789904
"618",2009,"Northeast","Bahia",29,"female",77.0881241118066
"619",2010,"Northeast","Bahia",29,"female",77.3522169985223
"620",2011,"Northeast","Bahia",29,"female",77.5238941400082
"621",2012,"Northeast","Bahia",29,"female",77.8579839649369
"622",2013,"Northeast","Bahia",29,"female",78.3501103835751
"623",2014,"Northeast","Bahia",29,"female",78.8243313198879
"624",2015,"Northeast","Bahia",29,"female",78.6819885261995
"625",2000,"Northeast","Bahia",29,"male",68.4214694222017
"626",2001,"Northeast","Bahia",29,"male",68.5037522674136
"627",2002,"Northeast","Bahia",29,"male",68.7330255876008
"628",2003,"Northeast","Bahia",29,"male",69.0737243137746
"629",2004,"Northeast","Bahia",29,"male",69.4358934002974
"630",2005,"Northeast","Bahia",29,"male",70.1571471678557
"631",2006,"Northeast","Bahia",29,"male",69.9370006092547
"632",2007,"Northeast","Bahia",29,"male",70.3624442197138
"633",2008,"Northeast","Bahia",29,"male",70.0425793593863
"634",2009,"Northeast","Bahia",29,"male",70.0071535992905
"635",2010,"Northeast","Bahia",29,"male",70.0332762138033
"636",2011,"Northeast","Bahia",29,"male",70.4309308431921
"637",2012,"Northeast","Bahia",29,"male",70.4493485630001
"638",2013,"Northeast","Bahia",29,"male",70.8527139779138
"639",2014,"Northeast","Bahia",29,"male",70.8594202575443
"640",2015,"Northeast","Bahia",29,"male",71.2435296314009
"641",2000,"South","Paraná",41,"female",74.0779800337603
"642",2001,"South","Paraná",41,"female",74.992110221992
"643",2002,"South","Paraná",41,"female",75.1452973353663
"644",2003,"South","Paraná",41,"female",75.6505696704994
"645",2004,"South","Paraná",41,"female",75.6180631408881
"646",2005,"South","Paraná",41,"female",76.4473426156863
"647",2006,"South","Paraná",41,"female",76.5501440394063
"648",2007,"South","Paraná",41,"female",77.0423328717435
"649",2008,"South","Paraná",41,"female",77.1166954142888
"650",2009,"South","Paraná",41,"female",77.6499232462699
"651",2010,"South","Paraná",41,"female",77.6325853091737
"652",2011,"South","Paraná",41,"female",77.8950672331328
"653",2012,"South","Paraná",41,"female",78.2631921829623
"654",2013,"South","Paraná",41,"female",78.3535922303116
"655",2014,"South","Paraná",41,"female",78.7569189134878
"656",2015,"South","Paraná",41,"female",78.9696001674138
"657",2000,"South","Paraná",41,"male",67.6283641487264
"658",2001,"South","Paraná",41,"male",68.3644174492452
"659",2002,"South","Paraná",41,"male",68.4647358192862
"660",2003,"South","Paraná",41,"male",68.711239980149
"661",2004,"South","Paraná",41,"male",68.6357552535056
"662",2005,"South","Paraná",41,"male",69.4871885726541
"663",2006,"South","Paraná",41,"male",69.7235539007681
"664",2007,"South","Paraná",41,"male",69.9937591797168
"665",2008,"South","Paraná",41,"male",70.0066280799069
"666",2009,"South","Paraná",41,"male",70.2020532575658
"667",2010,"South","Paraná",41,"male",70.5255419662875
"668",2011,"South","Paraná",41,"male",70.6301214014375
"669",2012,"South","Paraná",41,"male",71.0443233449772
"670",2013,"South","Paraná",41,"male",71.5394863038842
"671",2014,"South","Paraná",41,"male",72.1980681768
"672",2015,"South","Paraná",41,"male",72.4006830181144
"673",2000,"South","Santa Catarina",42,"female",75.8599351285254
"674",2001,"South","Santa Catarina",42,"female",76.575490356194
"675",2002,"South","Santa Catarina",42,"female",76.828740870506
"676",2003,"South","Santa Catarina",42,"female",77.172014245611
"677",2004,"South","Santa Catarina",42,"female",77.2696755998053
"678",2005,"South","Santa Catarina",42,"female",77.9747321443549
"679",2006,"South","Santa Catarina",42,"female",78.3271154801203
"680",2007,"South","Santa Catarina",42,"female",78.3556289166757
"681",2008,"South","Santa Catarina",42,"female",78.9143604238596
"682",2009,"South","Santa Catarina",42,"female",78.8229932979737
"683",2010,"South","Santa Catarina",42,"female",79.0741471085567
"684",2011,"South","Santa Catarina",42,"female",79.0347640652288
"685",2012,"South","Santa Catarina",42,"female",79.5077493686767
"686",2013,"South","Santa Catarina",42,"female",79.8698130785129
"687",2014,"South","Santa Catarina",42,"female",80.0814733344495
"688",2015,"South","Santa Catarina",42,"female",80.3742765939352
"689",2000,"South","Santa Catarina",42,"male",68.9448686283518
"690",2001,"South","Santa Catarina",42,"male",69.4225409594208
"691",2002,"South","Santa Catarina",42,"male",69.7037188639212
"692",2003,"South","Santa Catarina",42,"male",69.8719246541131
"693",2004,"South","Santa Catarina",42,"male",70.0028879043042
"694",2005,"South","Santa Catarina",42,"male",70.9686839947709
"695",2006,"South","Santa Catarina",42,"male",71.2788751298718
"696",2007,"South","Santa Catarina",42,"male",71.1434720797277
"697",2008,"South","Santa Catarina",42,"male",71.9306798835411
"698",2009,"South","Santa Catarina",42,"male",71.7726977403542
"699",2010,"South","Santa Catarina",42,"male",72.3156697893771
"700",2011,"South","Santa Catarina",42,"male",72.2593121683953
"701",2012,"South","Santa Catarina",42,"male",73.164344011599
"702",2013,"South","Santa Catarina",42,"male",73.3731984886052
"703",2014,"South","Santa Catarina",42,"male",73.7584620631
"704",2015,"South","Santa Catarina",42,"male",73.8403412513194
"705",2000,"South","Rio Grande do Sul",43,"female",75.965646172565
"706",2001,"South","Rio Grande do Sul",43,"female",76.4426150247531
"707",2002,"South","Rio Grande do Sul",43,"female",76.6076882779305
"708",2003,"South","Rio Grande do Sul",43,"female",76.8858839289918
"709",2004,"South","Rio Grande do Sul",43,"female",76.9946473652875
"710",2005,"South","Rio Grande do Sul",43,"female",77.6390103522395
"711",2006,"South","Rio Grande do Sul",43,"female",77.7119716217752
"712",2007,"South","Rio Grande do Sul",43,"female",77.7566164795594
"713",2008,"South","Rio Grande do Sul",43,"female",78.4438722808536
"714",2009,"South","Rio Grande do Sul",43,"female",78.3524276581084
"715",2010,"South","Rio Grande do Sul",43,"female",78.5553285384797
"716",2011,"South","Rio Grande do Sul",43,"female",78.5111840873633
"717",2012,"South","Rio Grande do Sul",43,"female",78.9626547470829
"718",2013,"South","Rio Grande do Sul",43,"female",78.8654865324101
"719",2014,"South","Rio Grande do Sul",43,"female",79.482476828357
"720",2015,"South","Rio Grande do Sul",43,"female",79.7180286342764
"721",2000,"South","Rio Grande do Sul",43,"male",67.9377579017422
"722",2001,"South","Rio Grande do Sul",43,"male",68.2627853213618
"723",2002,"South","Rio Grande do Sul",43,"male",68.6479681943755
"724",2003,"South","Rio Grande do Sul",43,"male",68.8088220038746
"725",2004,"South","Rio Grande do Sul",43,"male",69.02144137847
"726",2005,"South","Rio Grande do Sul",43,"male",69.8199880164152
"727",2006,"South","Rio Grande do Sul",43,"male",70.221206697848
"728",2007,"South","Rio Grande do Sul",43,"male",70.2420275384493
"729",2008,"South","Rio Grande do Sul",43,"male",70.7743073284093
"730",2009,"South","Rio Grande do Sul",43,"male",70.9515563574312
"731",2010,"South","Rio Grande do Sul",43,"male",71.3718109039862
"732",2011,"South","Rio Grande do Sul",43,"male",71.5178679521818
"733",2012,"South","Rio Grande do Sul",43,"male",71.9498052905544
"734",2013,"South","Rio Grande do Sul",43,"male",71.8371985618547
"735",2014,"South","Rio Grande do Sul",43,"male",72.2138940126113
"736",2015,"South","Rio Grande do Sul",43,"male",72.733119073553
"737",2000,"Southeast","Minas Gerais",31,"female",74.7241583166624
"738",2001,"Southeast","Minas Gerais",31,"female",75.0979261088206
"739",2002,"Southeast","Minas Gerais",31,"female",75.7485192454209
"740",2003,"Southeast","Minas Gerais",31,"female",75.5781232920484
"741",2004,"Southeast","Minas Gerais",31,"female",75.9683092868002
"742",2005,"Southeast","Minas Gerais",31,"female",76.7219159505591
"743",2006,"Southeast","Minas Gerais",31,"female",76.6012551435638
"744",2007,"Southeast","Minas Gerais",31,"female",77.3474223432473
"745",2008,"Southeast","Minas Gerais",31,"female",77.5624352237217
"746",2009,"Southeast","Minas Gerais",31,"female",78.0183252116307
"747",2010,"Southeast","Minas Gerais",31,"female",77.8737583194003
"748",2011,"Southeast","Minas Gerais",31,"female",78.2727246572721
"749",2012,"Southeast","Minas Gerais",31,"female",78.6517036212627
"750",2013,"Southeast","Minas Gerais",31,"female",79.1831076287479
"751",2014,"Southeast","Minas Gerais",31,"female",79.5988115214256
"752",2015,"Southeast","Minas Gerais",31,"female",79.5668142175744
"753",2000,"Southeast","Minas Gerais",31,"male",67.7249518765536
"754",2001,"Southeast","Minas Gerais",31,"male",68.0714003597168
"755",2002,"Southeast","Minas Gerais",31,"male",68.8020149794989
"756",2003,"Southeast","Minas Gerais",31,"male",68.2959745429582
"757",2004,"Southeast","Minas Gerais",31,"male",68.5784112014528
"758",2005,"Southeast","Minas Gerais",31,"male",69.405161674404
"759",2006,"Southeast","Minas Gerais",31,"male",69.4173508095438
"760",2007,"Southeast","Minas Gerais",31,"male",70.1789628255987
"761",2008,"Southeast","Minas Gerais",31,"male",70.8043462050887
"762",2009,"Southeast","Minas Gerais",31,"male",71.338581349097
"763",2010,"Southeast","Minas Gerais",31,"male",71.4072051800007
"764",2011,"Southeast","Minas Gerais",31,"male",71.7471817538854
"765",2012,"Southeast","Minas Gerais",31,"male",72.1479406271851
"766",2013,"Southeast","Minas Gerais",31,"male",72.6617533066282
"767",2014,"Southeast","Minas Gerais",31,"male",72.913260878843
"768",2015,"Southeast","Minas Gerais",31,"male",73.096620709805
"769",2000,"Southeast","Espírito Santo",32,"female",74.538515250838
"770",2001,"Southeast","Espírito Santo",32,"female",75.0017187814927
"771",2002,"Southeast","Espírito Santo",32,"female",75.7217242219634
"772",2003,"Southeast","Espírito Santo",32,"female",75.6954949059129
"773",2004,"Southeast","Espírito Santo",32,"female",76.323753276837
"774",2005,"Southeast","Espírito Santo",32,"female",76.8233415066679
"775",2006,"Southeast","Espírito Santo",32,"female",76.6282166882811
"776",2007,"Southeast","Espírito Santo",32,"female",77.4383486881973
"777",2008,"Southeast","Espírito Santo",32,"female",77.5547350860308
"778",2009,"Southeast","Espírito Santo",32,"female",78.1080975292887
"779",2010,"Southeast","Espírito Santo",32,"female",78.5503852133038
"780",2011,"Southeast","Espírito Santo",32,"female",78.8248932829007
"781",2012,"Southeast","Espírito Santo",32,"female",79.3241788112969
"782",2013,"Southeast","Espírito Santo",32,"female",79.9164358467554
"783",2014,"Southeast","Espírito Santo",32,"female",80.0264748245735
"784",2015,"Southeast","Espírito Santo",32,"female",80.2514856965346
"785",2000,"Southeast","Espírito Santo",32,"male",66.5168737954239
"786",2001,"Southeast","Espírito Santo",32,"male",67.2429501135053
"787",2002,"Southeast","Espírito Santo",32,"male",67.876687312151
"788",2003,"Southeast","Espírito Santo",32,"male",68.0249664108898
"789",2004,"Southeast","Espírito Santo",32,"male",68.3073345127463
"790",2005,"Southeast","Espírito Santo",32,"male",68.9357277866748
"791",2006,"Southeast","Espírito Santo",32,"male",68.9832839310493
"792",2007,"Southeast","Espírito Santo",32,"male",69.4751563475515
"793",2008,"Southeast","Espírito Santo",32,"male",69.532126797249
"794",2009,"Southeast","Espírito Santo",32,"male",70.4657943212383
"795",2010,"Southeast","Espírito Santo",32,"male",70.3888250351663
"796",2011,"Southeast","Espírito Santo",32,"male",71.0775826048229
"797",2012,"Southeast","Espírito Santo",32,"male",71.4845329138273
"798",2013,"Southeast","Espírito Santo",32,"male",72.0103219567697
"799",2014,"Southeast","Espírito Santo",32,"male",72.335919926779
"800",2015,"Southeast","Espírito Santo",32,"male",72.8482335684941
"801",2000,"Southeast","Rio de Janeiro",33,"female",73.8916633596168
"802",2001,"Southeast","Rio de Janeiro",33,"female",74.1608756433545
"803",2002,"Southeast","Rio de Janeiro",33,"female",74.306362795966
"804",2003,"Southeast","Rio de Janeiro",33,"female",74.8774433843665
"805",2004,"Southeast","Rio de Janeiro",33,"female",75.2378604979195
"806",2005,"Southeast","Rio de Janeiro",33,"female",75.9966342067708
"807",2006,"Southeast","Rio de Janeiro",33,"female",76.0135043197239
"808",2007,"Southeast","Rio de Janeiro",33,"female",76.2816371775512
"809",2008,"Southeast","Rio de Janeiro",33,"female",76.3708895428811
"810",2009,"Southeast","Rio de Janeiro",33,"female",76.523589284719
"811",2010,"Southeast","Rio de Janeiro",33,"female",76.6100082049425
"812",2011,"Southeast","Rio de Janeiro",33,"female",76.814962982315
"813",2012,"Southeast","Rio de Janeiro",33,"female",77.2800154010179
"814",2013,"Southeast","Rio de Janeiro",33,"female",77.3964761429163
"815",2014,"Southeast","Rio de Janeiro",33,"female",77.558891641914
"816",2015,"Southeast","Rio de Janeiro",33,"female",77.645533210345
"817",2000,"Southeast","Rio de Janeiro",33,"male",64.7899179476345
"818",2001,"Southeast","Rio de Janeiro",33,"male",65.0906903323399
"819",2002,"Southeast","Rio de Janeiro",33,"male",65.1504708157535
"820",2003,"Southeast","Rio de Janeiro",33,"male",65.6654270118822
"821",2004,"Southeast","Rio de Janeiro",33,"male",66.0889077782449
"822",2005,"Southeast","Rio de Janeiro",33,"male",67.0190085041315
"823",2006,"Southeast","Rio de Janeiro",33,"male",67.1877546886573
"824",2007,"Southeast","Rio de Janeiro",33,"male",67.4639526549439
"825",2008,"Southeast","Rio de Janeiro",33,"male",67.9359570264011
"826",2009,"Southeast","Rio de Janeiro",33,"male",68.4232097626935
"827",2010,"Southeast","Rio de Janeiro",33,"male",68.7440427415027
"828",2011,"Southeast","Rio de Janeiro",33,"male",69.283924468605
"829",2012,"Southeast","Rio de Janeiro",33,"male",69.7949643447901
"830",2013,"Southeast","Rio de Janeiro",33,"male",69.6836692590441
"831",2014,"Southeast","Rio de Janeiro",33,"male",70.0082954760596
"832",2015,"Southeast","Rio de Janeiro",33,"male",70.4969123765763
"833",2000,"Southeast","São Paulo",35,"female",75.4274957845175
"834",2001,"Southeast","São Paulo",35,"female",76.1476242238186
"835",2002,"Southeast","São Paulo",35,"female",76.4211085895302
"836",2003,"Southeast","São Paulo",35,"female",76.7016334823722
"837",2004,"Southeast","São Paulo",35,"female",76.8568095832158
"838",2005,"Southeast","São Paulo",35,"female",77.5968034604523
"839",2006,"Southeast","São Paulo",35,"female",77.5663861013562
"840",2007,"Southeast","São Paulo",35,"female",77.9757741807371
"841",2008,"Southeast","São Paulo",35,"female",78.142005303116
"842",2009,"Southeast","São Paulo",35,"female",78.2326846929394
"843",2010,"Southeast","São Paulo",35,"female",78.3785896287281
"844",2011,"Southeast","São Paulo",35,"female",78.4988141785307
"845",2012,"Southeast","São Paulo",35,"female",78.936463798079
"846",2013,"Southeast","São Paulo",35,"female",79.0388995105046
"847",2014,"Southeast","São Paulo",35,"female",79.1230353544827
"848",2015,"Southeast","São Paulo",35,"female",79.2879350743723
"849",2000,"Southeast","São Paulo",35,"male",66.9403490287117
"850",2001,"Southeast","São Paulo",35,"male",67.5550075903913
"851",2002,"Southeast","São Paulo",35,"male",68.0029120021742
"852",2003,"Southeast","São Paulo",35,"male",68.5441258505255
"853",2004,"Southeast","São Paulo",35,"male",68.9862246105728
"854",2005,"Southeast","São Paulo",35,"male",69.9848258214867
"855",2006,"Southeast","São Paulo",35,"male",70.3154255230962
"856",2007,"Southeast","São Paulo",35,"male",70.7940102241453
"857",2008,"Southeast","São Paulo",35,"male",70.9917209374117
"858",2009,"Southeast","São Paulo",35,"male",71.2477183503711
"859",2010,"Southeast","São Paulo",35,"male",71.3293664474281
"860",2011,"Southeast","São Paulo",35,"male",71.5084925531484
"861",2012,"Southeast","São Paulo",35,"male",71.9025770155823
"862",2013,"Southeast","São Paulo",35,"male",72.1748678529418
"863",2014,"Southeast","São Paulo",35,"male",72.5053942695802
"864",2015,"Southeast","São Paulo",35,"male",72.8006408963528
